,iterations,epochs,training_time
group_a_class_0,1872.0,12.0,11.03120231628418
group_a_class_1,1947.0,11.0,11.732308626174927
group_a_class_2,1727.0,11.0,10.405755043029785
group_a_class_3,1771.0,11.0,10.89751935005188
group_a_class_4,1848.0,12.0,11.147976160049438
group_a_class_5,2002.0,14.0,12.453528881072998
group_a_class_6,2028.0,13.0,12.45298719406128
group_a_class_7,1485.0,9.0,9.35789155960083
group_a_class_8,1540.0,10.0,9.773028135299683
group_a_class_9,2198.0,14.0,13.214804410934448
group_b_class_0,1956.0,12.0,11.094437599182129
group_b_class_1,2232.0,12.0,12.706230640411377
group_b_class_2,2132.0,13.0,11.8873929977417
group_b_class_3,1859.0,11.0,10.635693550109863
group_b_class_4,1932.0,12.0,12.130613565444946
group_b_class_5,1650.0,11.0,10.288981914520264
group_b_class_6,1630.0,10.0,9.652329444885254
group_b_class_7,2422.0,14.0,14.83557391166687
group_b_class_8,2254.0,14.0,13.952826023101807
group_b_class_9,1968.0,12.0,12.189119815826416
group_c_class_0,2223.0,13.0,13.77103567123413
group_c_class_1,1940.0,10.0,11.843281030654907
group_c_class_2,2236.0,13.0,13.722756147384644
group_c_class_3,1770.0,10.0,11.09333324432373
group_c_class_4,1680.0,10.0,10.336740016937256
group_c_class_5,1716.0,11.0,10.758049726486206
group_c_class_6,1881.0,11.0,11.40906047821045
group_c_class_7,1991.0,11.0,12.19068455696106
group_c_class_8,1521.0,9.0,10.723244428634644
group_c_class_9,2223.0,13.0,13.158327102661133
